color_lr,density_lr,gradient_lr,sh_lr
1.00E-03,1.00E-03,5.00E-05,5.00E-05
2.50E-04,2.50E-04,5.00E-05,5.00E-05
5.00E-04,5.00E-04,5.00E-05,5.00E-05
7.50E-04,7.50E-04,5.00E-05,5.00E-05
1.00E-04,1.00E-04,5.00E-05,5.00E-05
1.00E-03,1.00E-03,5.00E-05,1.00E-05
1.00E-03,1.00E-03,5.00E-05,2.50E-05
1.00E-03,1.00E-03,5.00E-05,5.00E-05
1.00E-03,1.00E-03,5.00E-05,1.00E-04
1.00E-03,1.00E-03,1.00E-05,5.00E-05
1.00E-03,1.00E-03,2.50E-05,5.00E-05
1.00E-03,1.00E-03,5.00E-05,5.00E-05
1.00E-03,1.00E-03,1.00E-04,5.00E-05